gene	symbol	category	lipo_annote	rpos_annote_caimano	rpos_annote_grassmann	rrp1_annote	rel_recov_annote	rel_starve_annote	rel_station_annote	unreg	baseMean	log2fc_12	padj_12	log2fc_13	padj_13	log2fc_1e	padj_1e	log2fc_23	padj_23	log2fc_3e	padj_3e
BB_0497	rplO	TL	NA	NA	NA	NA	NA	down	down	FALSE	2878.703586	-0.164573777	0.087876782	-0.281186189	0.002008012	-0.863625036	4.08E-24	-0.08653548	0.357207005	-0.562059825	2.28E-10
BB_0604	BB_0604	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	2349.649959	0.222534034	0.087876782	-0.267968611	0.043116805	-0.556942921	6.88E-06	-0.525247887	0.000182148	-0.242041958	0.057478177
BB_N01	BB_N01	U	NA	NA	NA	NA	down	down	down	FALSE	134.7569483	-0.357849458	0.087876782	0.047370953	0.867774819	0.143835608	0.604732747	0.379875557	0.057917722	0.051266138	0.822915247
BB_H28	BB_H28	NA	NA	NA	NA	up	NA	NA	NA	FALSE	159.0189989	0.346785641	0.087876782	0.3755347	0.09817595	1.681953567	1.32E-12	-0.008724352	0.936613028	1.152797635	1.61E-06
BB_A53	BB_A53	U	NA	NA	down-DMCs	up	NA	down	down	FALSE	230.8641101	0.308864984	0.087876782	0.023304617	0.929284757	0.238929679	0.264571996	-0.214952005	0.130330218	0.156601268	0.384095144
BB_0608	BB_0608	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	5365.590472	-0.169598805	0.087979768	-0.33679459	0.000252443	-0.558622724	2.00E-10	-0.13123096	0.164767559	-0.19862568	0.035852678
BB_0269	BB_0269	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	4983.439915	-0.158712289	0.089026727	-0.255520103	0.003376704	-0.145777616	0.098986447	-0.077324879	0.426031828	0.109496225	0.259052371
BB_A23	BB_A23	U	NA	down	NA	NA	NA	NA	down	FALSE	187.5308742	-0.328679317	0.09068597	-0.479906931	0.031997083	-0.278250539	0.241703115	-0.02735129	0.827249005	0.161517454	0.393082499
BB_0166	malQ	MT	NA	NA	NA	up	down	NA	NA	FALSE	879.1445201	0.286719502	0.090774788	-0.346022811	0.056400035	-0.341431252	0.063884259	-0.717660371	0.000269319	0.026505499	0.895424697
BB_0794	BB_0794	NA	NA	NA	NA	down	NA	NA	NA	FALSE	4200.646141	-0.146079507	0.092085519	-0.313316652	0.000122993	-0.538462844	3.49E-12	-0.13468799	0.112259913	-0.207171246	0.012416775
BB_0279	fliL	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	2305.944358	-0.154346146	0.093576231	-0.242815451	0.00512942	-0.443155171	5.32E-08	-0.066823334	0.477122546	-0.180675199	0.039064384
BB_0643	ylqF	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	333.4997518	-0.283680202	0.093576231	-0.388776254	0.031880063	-0.126274815	0.54192065	-0.031210778	0.820782544	0.23683432	0.162684774
BB_0811	BB_0811	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	1600.146736	-0.165784356	0.094828839	-0.315465762	0.000738127	-0.451782101	5.25E-07	-0.114886637	0.228804218	-0.116361584	0.262154071
BB_0441	rnpA	NA	NA	NA	NA	down	NA	NA	NA	FALSE	643.7868864	-0.246759034	0.095352174	-0.211253126	0.185442383	-0.622676131	2.81E-05	0.03498551	0.795887215	-0.344886943	0.01967489
BB_0209	BB_0209	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	3750.326402	0.119841528	0.096497139	-0.00347598	0.971472048	0.188787994	0.003046155	-0.116708489	0.096106686	0.186852095	0.004568013
BB_0284	flgD	CM	NA	NA	NA	NA	NA	down	NA	FALSE	2121.814681	-0.173571878	0.096497139	-0.3172586	0.00133987	-0.14880407	0.160241047	-0.106076157	0.287093196	0.166207584	0.105084449
BB_0771	rpoS	TR	NA	NA	NA	up	NA	NA	up	FALSE	367.3187842	0.305566789	0.096497139	0.728513005	0.000426826	1.549237113	2.51E-14	0.179443716	0.181854806	0.692798873	0.000542665
BB_0175	BB_0175	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	2517.205879	-0.150841709	0.097238873	-0.265540073	0.001836026	-0.604077903	4.31E-14	-0.09040751	0.315770385	-0.317863611	0.000143535
BB_0212	BB_0212	U	NA	NA	NA	NA	NA	up	up	FALSE	380.6868295	0.300358463	0.097238873	0.178359374	0.381299891	1.049956369	1.15E-07	-0.074226314	0.525785536	0.780081508	9.40E-05
BB_0388	rpoC	TR	NA	NA	NA	down	down	down	down	FALSE	55314.21495	-0.162136536	0.097238873	-0.5192095	7.43E-09	-1.42833894	8.55E-64	-0.315016161	0.001129085	-0.895517198	1.49E-24
BB_J36	BB_J36	CE	S	NA	NA	NA	NA	NA	NA	TRUE	501.2373285	0.265910288	0.097238873	0.052230128	0.81137711	0.568939347	0.000603281	-0.162804135	0.206483364	0.465242577	0.004444995
BB_A54	BB_A54	NA	NA	NA	down-DMCs	up	NA	NA	NA	FALSE	194.8903986	0.319333867	0.097238873	0.157594572	0.470209089	0.470667545	0.036268371	-0.08780273	0.436690165	0.192651441	0.305306442
BB_0188	rplT	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	5019.915862	-0.145720178	0.097657908	-0.232734964	0.005075499	-0.225785896	0.004809926	-0.065962336	0.463596148	0.011009836	0.930410115
BB_0488	rplN	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	3358.93949	-0.18537189	0.097806153	-0.449995456	2.20E-05	-1.123194386	2.59E-28	-0.209608783	0.050004901	-0.640133064	1.15E-09
BB_0302	ftsW	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	707.8737501	-0.216523735	0.097999592	-0.243888202	0.073553513	-0.725035406	1.19E-08	-0.004237601	0.967367099	-0.4335951	0.000893879
BB_0348	pyk	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	8474.706207	0.169071551	0.098023313	-0.033834347	0.802805754	0.220836146	0.021737432	-0.188430352	0.050923391	0.242363283	0.010941564
BB_M39	BB_M39	NA	NA	NA	up-nymphs	NA	NA	NA	NA	TRUE	62.82859323	0.336892634	0.098274689	1.124092982	0.002940885	1.226660737	0.001100927	0.070253144	0.368184023	0.014657513	0.945759942
BB_0428	BB_0428	U	NA	NA	NA	NA	NA	up	NA	FALSE	1041.689018	0.200224062	0.098906237	-0.116181225	0.392118153	-0.042458359	0.775630891	-0.311323466	0.010293818	0.072141569	0.611494813
BB_0260	BB_0260	U	NA	NA	NA	NA	NA	up	NA	FALSE	2569.245537	-0.161669603	0.099669513	-0.200281338	0.040863863	-0.124705053	0.209849972	-0.022781944	0.849280909	0.076344303	0.48756582
BB_0615	rpsD	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	10850.86758	-0.152575919	0.099669513	-0.2246529	0.010581666	-0.264143045	0.001591979	-0.052853796	0.586422947	-0.033700709	0.799461363
BB_M29	BB_M29	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	50.4998011	0.35038965	0.099669513	0.800263522	0.012993038	1.410817899	3.59E-05	0.046606659	0.597648833	0.224447928	0.253297446
BB_K46	BB_K46	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	337.1323026	0.297061789	0.099995756	0.943121696	5.09E-06	1.511085798	4.81E-14	0.440147494	0.022999757	0.437208188	0.01967489
BB_0075	BB_0075	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	1185.889242	-0.208436953	0.100137658	-0.289553168	0.024173166	-0.403859283	0.001048061	-0.041384997	0.738022225	-0.084558542	0.556685111
BB_0115	BB_0115	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	2649.476307	-0.157387824	0.100417868	-0.362145446	4.75E-05	-0.454634711	1.11E-07	-0.171603821	0.067418797	-0.078579495	0.457565093
BB_0435	gyrA	RR	NA	NA	NA	NA	NA	down	NA	FALSE	54326.21223	-0.135391022	0.100534679	-0.232951321	0.002244247	-0.502593168	1.11E-12	-0.079345349	0.342468667	-0.254850197	0.000584072
BB_0763	BB_0763	MT	NA	NA	NA	NA	NA	down	down	FALSE	791.3322732	-0.198348546	0.100534679	-0.133817316	0.313883946	-0.189388701	0.129499432	0.056396985	0.621968191	-0.040381726	0.799507224
BB_0840	BB_0840	NA	S	NA	NA	NA	NA	NA	NA	TRUE	2153.939169	0.18962733	0.100982883	0.092344883	0.453685281	0.3299344	0.001844015	-0.078575946	0.461811165	0.211959406	0.052881943
BB_0096	BB_0096	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	3204.212042	-0.135952024	0.101904851	-0.187682234	0.018254884	-0.286207599	0.000106514	-0.039254866	0.667147168	-0.088338922	0.308995712
BB_0699	rplS	TL	NA	NA	NA	NA	down	down	down	FALSE	2526.13597	-0.158410651	0.101904851	-0.150439653	0.123851302	-0.366424551	2.36E-05	0.01210788	0.912257631	-0.197639423	0.031732714
BB_0408	BB_0408	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	14889.3574	-0.174584478	0.103463085	-0.431796589	1.49E-05	-0.418470674	1.82E-05	-0.211845534	0.038835233	0.02339859	0.869915809
BB_0259	BB_0259	MT	P	NA	NA	NA	NA	NA	NA	TRUE	4347.280108	-0.148426689	0.105922919	-0.157049198	0.091143474	-0.087689189	0.358053842	9.10E-05	0.998898298	0.069637638	0.501107941
BB_0745	BB_0745	RR	NA	NA	NA	NA	NA	up	up	FALSE	266.5730452	0.297906658	0.106355984	-0.155418282	0.46612814	0.881365522	2.44E-05	-0.506028866	0.016182555	1.07714276	7.10E-07
BB_E09	BB_E09	CE	NA	NA	NA	NA	up	up	up	FALSE	271.8558103	0.300273056	0.106498728	0.26751723	0.198551796	0.765232012	0.000308839	-0.031072092	0.808856772	0.34818845	0.069231144
BB_0562	BB_0562	U	NA	NA	NA	NA	NA	up	up	FALSE	729.4618518	0.240868128	0.106926346	0.231235708	0.150655532	0.320158474	0.042509577	-0.019636848	0.885488012	0.051993489	0.773720731
BB_O38	BB_O38	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	42.24302483	0.07528022	0.10788849	0.179284717	0.099485134	0.846108384	0.036882219	-0.000648663	0.976882678	0.018406583	0.855550231
BB_0485	rplP	TL	NA	NA	NA	NA	NA	down	down	FALSE	5196.543252	-0.177810127	0.10897436	-0.359454168	0.000674041	-1.13560046	6.65E-30	-0.132845979	0.198592672	-0.748819219	3.22E-13
BB_B26	BB_B26	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	263.9026061	0.260166582	0.11033615	0.221185569	0.222740296	0.330520539	0.067997516	-0.035743886	0.788817962	0.061613239	0.75070571
BB_P35	bppA1	U	NA	NA	up-nymphs	up	up	NA	NA	FALSE	147.9639197	0.332111732	0.11033615	0.997065763	0.000797311	1.240486229	2.44E-05	0.137077375	0.20619943	0.08965076	0.657350625
BB_0299	ftsZ	CD	NA	NA	NA	NA	down	down	down	FALSE	8821.952598	-0.138705105	0.113228815	-0.329525978	3.37E-05	-0.535215074	1.08E-12	-0.161613692	0.050999899	-0.190522332	0.018747492
BB_B10	BB_B10	U	NA	NA	NA	NA	down	NA	NA	FALSE	318.6690295	0.291243706	0.113228815	0.821849315	0.000129763	1.129135112	7.89E-08	0.268221981	0.092683447	0.184246948	0.310301311
BB_F18	BB_F18	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	124.5011591	0.307539091	0.113228815	0.712875138	0.002645956	0.905426195	0.000132939	0.115429144	0.32053684	0.086103369	0.671092088
BB_0280	BB_0280	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	4468.491276	-0.147939067	0.113487463	-0.249250252	0.004894769	-0.453926779	4.51E-08	-0.078180434	0.414373249	-0.184132895	0.038377152
BB_U07	BB_U07	U	NA	NA	NA	NA	NA	NA	up	FALSE	74.70600263	0.324231318	0.113487463	0.402168965	0.130994552	0.290576846	0.368161398	-0.007978793	0.927005027	-0.097800747	0.611042331
BB_0747	BB_0747	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	1146.642812	0.208949935	0.114707084	0.437657421	0.000875251	0.019862717	0.916058617	0.146486746	0.211797342	-0.408449885	0.001553135
BB_0076	ftsY	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	616.6582097	-0.225054661	0.11844923	-0.118565676	0.470209089	-0.366536839	0.013908796	0.08201933	0.493074722	-0.198922818	0.174237368
BB_0140	BB_0140	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	10969.72416	0.141805817	0.121416749	0.188955658	0.033809518	0.279324051	0.000633647	0.031834236	0.764647751	0.080705031	0.412345348
BB_0361	BB_0361	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	1037.812281	-0.175655946	0.122940087	-0.185960551	0.113017054	0.057415801	0.669899427	0.00223594	0.980634862	0.234407701	0.033715088
BB_0290	fliG	NA	NA	NA	NA	down	NA	NA	NA	FALSE	5898.557382	-0.135664253	0.123027111	-0.243868011	0.002587504	-0.461917111	1.03E-09	-0.086721117	0.313193116	-0.201968562	0.012699201
BB_0832	BB_0832	CE	P	NA	NA	NA	NA	down	down	FALSE	1235.010218	0.15276563	0.123771204	-0.043495501	0.732975875	0.016124728	0.88670281	-0.180558247	0.053683491	0.056432591	0.633085221
BB_0602	BB_0602	SR	NA	NA	NA	NA	NA	NA	up	FALSE	1350.917044	0.165746349	0.12631133	0.014996849	0.926334624	0.276955407	0.006423554	-0.134981817	0.181854806	0.246419017	0.017274334
BB_0034	BB_0034	NA	NA	down	down-DMCs	NA	NA	NA	NA	FALSE	33289.09503	0.192226087	0.126864241	-0.039828119	0.799737312	0.015312327	0.934752169	-0.211742753	0.066271402	0.054816477	0.733967108
BB_I36	BB_I36	CE	S	down	down-DMCs	NA	NA	up	up	FALSE	133.556242	-0.300030843	0.126864241	-0.024564561	0.929284757	0.428869973	0.088266038	0.165643999	0.181854806	0.359898689	0.087793027
BB_K01	BB_K01	CE	S	down	up-nymphs	NA	up	up	up	FALSE	721.7259964	0.2433081	0.126864241	0.76818754	5.81E-06	1.125162685	7.02E-12	0.38809469	0.01882151	0.270698598	0.088551023
BB_A13	BB_A13	U	NA	NA	NA	NA	down	down	down	FALSE	128.1973423	-0.304611147	0.126864241	-0.252987288	0.285177513	-0.46677936	0.08334761	0.036074498	0.738022225	-0.075837351	0.710079801
BB_0427	BB_0427	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	305.8878927	-0.214342809	0.128954267	-0.260584411	0.081928091	-0.506145174	0.000451408	-0.013715338	0.912257631	-0.188612574	0.203355676
BB_D13	BB_D13	U	NA	NA	NA	NA	NA	NA	NA	TRUE	435.0856261	0.221107892	0.129470986	-0.074419901	0.681317847	0.221143927	0.163720352	-0.277725893	0.048808842	0.269687922	0.06786984
BB_E02	BB_E02	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	457.3260751	-0.219594492	0.129964209	0.023379087	0.916374831	0.068776615	0.70935022	0.215168928	0.102898327	0.035410588	0.845820138
BB_0634	recC	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	1262.694306	-0.181482219	0.130360173	0.066851137	0.645557515	-0.407632817	0.000342199	0.235104218	0.040932954	-0.460974506	5.10E-05
BB_M35	BB_M35	NA	NA	NA	NA	up	NA	NA	NA	FALSE	118.0942484	0.297544751	0.13123897	1.037145932	7.13E-05	1.167564165	4.67E-06	0.376165786	0.057417383	0.054290393	0.808544626
BB_0028	BB_0028	NA	P	NA	down-DMCs	NA	NA	NA	NA	TRUE	4757.808255	0.144033485	0.131762964	0.16755433	0.079982177	-0.06215691	0.542899143	0.011075793	0.912730594	-0.222440967	0.011808991
BB_0256	rpsU	TL	NA	NA	NA	NA	NA	up	up	FALSE	374.2774897	-0.237927003	0.133116848	-0.220781149	0.20976776	-0.076674419	0.712086011	0.026352506	0.850217368	0.133731478	0.425797308
BB_0802	rbfA	TL	NA	NA	NA	NA	NA	NA	NA	TRUE	2027.614683	0.152510757	0.133116848	-0.121785263	0.260878907	-0.288071857	0.002184337	-0.267368941	0.006845439	-0.147825114	0.141315173
BB_0261	BB_0261	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	1384.655136	0.181966851	0.137602745	0.085956877	0.54432169	0.10451702	0.438502551	-0.080636892	0.463596148	0.011279583	0.948584418
BB_0448	BB_0448	TP	NA	NA	NA	NA	NA	up	up	FALSE	360.510004	-0.213802355	0.137602745	-0.067544241	0.705523422	-0.293901963	0.055331008	0.114742926	0.340882064	-0.186213921	0.214843989
BB_0630	pfkB	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	384.9588361	0.233121212	0.137602745	-0.022716018	0.925410243	0.323664241	0.058629362	-0.219246733	0.113849228	0.304581254	0.057284792
BB_A55	BB_A55	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	580.2767065	-0.201917618	0.137602745	-0.020811734	0.918374762	-0.262358697	0.063446263	0.152695479	0.202486558	-0.211601532	0.12254307
BB_0725	BB_0725	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	1842.546273	-0.154055181	0.138062595	-0.484738537	5.00E-07	-0.227218735	0.021504595	-0.289228805	0.004844485	0.247398491	0.011960949
BB_0126	BB_0126	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	3019.015496	-0.12184215	0.138825515	-0.289224545	0.00010014	-0.504382432	1.14E-12	-0.144686589	0.067628967	-0.200182229	0.009366884
BB_0364	mgsA	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	2561.451696	0.132968283	0.139601593	0.003027113	0.979950298	-0.021964681	0.831559979	-0.121215746	0.165002584	-0.023260122	0.841581465
BB_0051	BB_0051	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	385.4697046	0.221699294	0.140927173	0.311523581	0.052099238	0.532017199	0.000551236	0.033353221	0.80706943	0.158188482	0.307492602
BB_0533	BB_0533	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	3252.377443	0.14074678	0.141239919	0.316014658	0.000280701	0.367266131	1.17E-05	0.145048297	0.105916566	0.040775148	0.727517919
BB_0092	BB_0092	MT	NA	NA	NA	NA	NA	NA	NA	TRUE	2173.211993	-0.137915278	0.142558932	-0.163727251	0.082850788	-0.492777953	4.24E-09	-0.013451776	0.902677718	-0.308755734	0.000391386
BB_0492	rpsH	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	3303.997528	-0.143765714	0.143314817	-0.306696273	0.000866955	-0.819620824	6.85E-21	-0.125689358	0.177440551	-0.48925152	7.34E-08
BB_0660	era	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	798.3219879	-0.183463455	0.144813421	-0.031092818	0.8597789	0.150513492	0.262787012	0.130912046	0.24482962	0.163216724	0.200719257
BB_0779	BB_0779	U	NA	NA	NA	NA	NA	down	NA	FALSE	335.2470991	-0.221797679	0.144813421	-0.482176638	0.002618952	-0.909655752	1.46E-08	-0.137641806	0.265580315	-0.333846543	0.035961303
BB_0021	queA	NA	NA	NA	NA	down	NA	NA	NA	FALSE	2012.37952	0.156715669	0.147655331	0.207121981	0.052679977	0.246281003	0.014835089	0.03037609	0.802009092	0.029255382	0.841581465
BB_0225	BB_0225	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	550.8300464	-0.20427154	0.147655331	-0.152687022	0.330642584	-0.159978827	0.309303846	0.045609065	0.715372377	0.005997237	0.978304903
BB_O36	BB_O36	NA	NA	NA	NA	up	NA	NA	NA	FALSE	153.2563726	0.281569705	0.149246691	1.218293506	1.06E-05	1.801921897	2.22E-11	0.595840595	0.019545941	0.360093677	0.091508049
BB_I22	BB_I22	CD	NA	NA	NA	up	up	up	up	FALSE	200.7472257	0.275995176	0.149246691	0.738934573	0.002244137	1.43421526	3.00E-09	0.138920962	0.244212437	0.495617309	0.022644561
BB_0446	aspS	TL	NA	NA	NA	NA	down	down	down	FALSE	2309.419364	-0.13599819	0.151352208	-0.165321272	0.074326304	-0.187012106	0.034039544	-0.019924369	0.869355092	-0.014693094	0.90877853
BB_0614	BB_0614	U	NA	NA	NA	NA	down	down	NA	FALSE	313.8920458	-0.246546924	0.154343894	-0.737795532	0.000234099	-0.991463564	6.01E-07	-0.267418638	0.088113477	-0.150163102	0.40518577
BB_F0041	BB_F0041	CE	NA	up	up-nymphs-DMCs	NA	up	up	up	FALSE	1837.391804	0.274988917	0.154343894	1.44051144	9.42E-08	2.033627194	7.55E-15	0.887988395	0.001678145	0.379733165	0.073251937
BB_0461	BB_0461	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	4699.520077	-0.136069396	0.155081038	0.096837155	0.337128071	-0.207876953	0.016039573	0.22707907	0.013174832	-0.296926813	0.000449348
BB_0717	BB_0717	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	63.66617186	-0.275101761	0.156106896	-0.249740891	0.301156291	-0.543217235	0.058960583	0.028930862	0.783818415	-0.104591437	0.594449075
BB_0170	BB_0170	U	NA	NA	NA	down	NA	NA	NA	FALSE	2431.178446	-0.158627753	0.158850397	-0.055100993	0.675968552	-0.120628198	0.294543972	0.089314117	0.387318381	-0.055822596	0.671092088
BB_R42	erpY	NA	S	NA	up-nymphs	up	NA	NA	NA	FALSE	238.9231733	0.263960085	0.158887958	0.493052583	0.031769669	1.116230442	1.85E-06	0.050350259	0.649007362	0.423759006	0.041634057
BB_0545	BB_0545	MT	NA	NA	NA	down	NA	down	NA	FALSE	1386.986242	-0.166083867	0.160166214	-0.006229703	0.95268395	-0.571526152	1.86E-07	0.138863256	0.198592672	-0.546989906	1.04E-06
BB_S44	BB_S44	U	NA	NA	NA	up	NA	down	NA	FALSE	123.7653881	0.272829796	0.161267781	0.866316466	0.002906016	1.286327493	1.15E-05	0.115335434	0.259006635	0.175794763	0.362445819
BB_0481	rplB	TL	NA	NA	NA	NA	NA	down	down	FALSE	17311.60514	-0.140439476	0.161307653	-0.409011128	7.52E-06	-0.978938904	5.83E-30	-0.237204693	0.01588675	-0.559596916	6.60E-10
BB_0838a	BB_0838a	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	69.06336761	0.265750509	0.161307653	0.441585152	0.102594714	0.515025634	0.094941671	0.010382162	0.912257631	-0.011565118	0.959135648
BB_G33	BB_G33	U	NA	NA	NA	NA	down	down	down	FALSE	1453.962161	-0.154683507	0.161307653	-0.582309951	1.26E-08	-0.58069013	5.48E-09	-0.38665134	0.00048453	0.006510789	0.966512105
BB_0094	BB_0094	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	10689.11498	-0.149792953	0.163029585	-0.183075166	0.050247985	-0.485392775	1.23E-08	-0.031734834	0.763939796	-0.278730804	0.001700232
BB_0830	BB_0830	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	2333.439746	-0.155897598	0.163029585	0.054275757	0.685928263	-0.307916675	0.002935119	0.194993268	0.061862992	-0.350013009	0.000703524
BB_0292	fliE	CM	NA	NA	NA	NA	NA	up	up	FALSE	2101.305685	0.136762266	0.163103154	-0.02037246	0.881959572	0.028620299	0.789980541	-0.144800392	0.114590104	0.047614375	0.683750939
BB_0415	BB_0415	CM	NA	NA	NA	NA	NA	NA	down	FALSE	696.0179556	-0.193271656	0.165650052	-0.013592891	0.942606841	0.243530123	0.091851291	0.149842728	0.212408272	0.228904675	0.097171675
BB_0268	BB_0268	U	NA	NA	NA	NA	NA	up	NA	FALSE	1210.037016	-0.136007328	0.165898422	-0.076647107	0.480049825	-0.041462773	0.71215813	0.054525584	0.584239126	0.034460751	0.779373784
BB_M32	BB_M32	CD	NA	NA	NA	NA	down	down	down	FALSE	145.7927336	-0.260440012	0.166857797	-0.054841935	0.83477471	0.001490204	0.996362169	0.117195082	0.294429098	0.045679198	0.839744862
BB_0452	BB_0452	TP	NA	NA	NA	NA	up	NA	NA	FALSE	438.4983544	0.226322338	0.168579852	0.075118271	0.714706608	-0.019240685	0.933242714	-0.106573746	0.3745369	-0.081089006	0.659518993
BB_S37	BB_S37	CE	NA	NA	NA	up	NA	NA	NA	FALSE	137.7386745	-0.25246359	0.169989123	-0.235452094	0.281410195	0.171677582	0.493035039	0.02608845	0.838349479	0.382102958	0.061280149
BB_0313	rrmJ	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	899.0718831	0.175619999	0.172728778	0.017233936	0.929284757	0.403483703	0.00103409	-0.134216317	0.234739331	0.360870157	0.003353354
BB_0389	rpoB	TR	NA	NA	NA	down	down	down	down	FALSE	49866.62255	-0.130649228	0.172728778	-0.435626703	2.82E-07	-1.29297829	6.70E-58	-0.279336413	0.00261263	-0.838179075	3.82E-24
BB_0498	BB_0498	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	11728.77292	-0.13945347	0.172728778	-0.196203177	0.038212827	-0.72594536	5.45E-17	-0.043317721	0.676423044	-0.504095043	1.46E-08
BB_0413	BB_0413	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	202.9678286	0.236758898	0.173006583	0.251301317	0.206709005	0.580708348	0.003415717	-0.012841628	0.912730594	0.214633598	0.230161071
BB_0487	rpsQ	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	1231.977424	-0.17439499	0.175045713	-0.361010654	0.004742298	-0.834631125	1.31E-11	-0.116841261	0.305182956	-0.420760018	0.000847841
BB_0486	rpmC	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	238.5966087	-0.247529991	0.177127303	-0.399994588	0.070083417	-1.583527533	5.17E-11	-0.0291169	0.81989068	-1.026040095	2.86E-05
BB_F25	BB_F25	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	90.26863483	-0.251566586	0.177127303	0.236636543	0.290830303	0.95363913	4.36E-05	0.602786333	0.012715727	0.548499322	0.012746676
BB_0065	def	TR	NA	NA	NA	NA	down	down	down	FALSE	1829.654534	-0.14216416	0.179287948	-0.197693339	0.058135236	-0.398166541	2.78E-05	-0.034044151	0.761864284	-0.177259172	0.082697639
BB_0328	BB_0328	TP	P	NA	NA	NA	NA	up	up	FALSE	19021.02258	0.131057443	0.179287948	0.315476673	0.000355665	0.709681657	9.58E-18	0.151179964	0.095063192	0.37223504	1.36E-05
BB_0494	rplR	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	2643.283736	-0.136246285	0.179287948	-0.296947818	0.001460873	-0.988724611	3.29E-29	-0.127834638	0.179309794	-0.666156438	1.77E-13
BB_0561	gnd	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	4636.590809	-0.129458641	0.179287948	-0.454616501	2.00E-07	-0.317035175	0.000241218	-0.292044053	0.001927424	0.134521025	0.161252177
BB_J29	BB_J29	U	NA	NA	up-nymphs-DMCs	NA	NA	NA	NA	TRUE	109.2881314	0.252833953	0.179287948	0.860898801	0.004664571	1.006378141	0.000992621	0.101421626	0.293255153	0.037798323	0.857644082
BB_0491	rpsN	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	257.0240197	-0.221347925	0.186046685	-0.395375901	0.034766529	-0.947246862	6.25E-07	-0.058932261	0.61815945	-0.423381783	0.020746957
BB_P29	BB_P29	U	NA	NA	up-nymphs	up	up	up	NA	FALSE	58.55465734	0.070275624	0.186046685	0.21974162	0.060472391	0.530064053	0.104620437	0.010776657	0.764647751	-0.02504951	0.799461363
BB_E20	BB_E20	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	226.7592749	0.220078911	0.186046685	0.360179598	0.05114168	1.184695706	3.30E-11	0.047378987	0.702136831	0.725547426	5.48E-05
BB_0110	BB_0110	NA	NA	NA	NA	NA	NA	NA	NA	TRUE	1181.472458	0.165833742	0.187825527	0.020925837	0.934716703	0.069971116	0.59098682	-0.126910143	0.242230045	0.055250266	0.72081007
BB_I21	BB_I21	CD	NA	NA	NA	up	up	up	up	FALSE	282.1029756	-0.221171715	0.18838913	0.040674049	0.86708308	0.909255819	7.02E-07	0.2173274	0.127435103	0.829137741	1.00E-05
